rank,seed_name,link,torrent_name,price,reviews,life,size,seeders,downloaders,finished_num,updowner
30,[2019-11-07][大陆][奇葩说 第六季][I.Can.I.BB.2019.E03.WEB-DL.1080P.H264.AAC-kfbyhyq][国语][中文字幕],https://bt.byr.cn/download.php?id=292465,[BYRBT].I.Can.I.BB.2019.E03.WEB-DL.1080P.H264.AAC-kfbyhyq.mp4.torrent,2,0,7天18时,1.69GB,274,0,1031,kfbyhyq
31,[日韩][X医生：外科医生大门未知子][Doctor.X.S01.1080p.NF.WEB-DL.DDP2.0.x264-TJUPT][S01][MP4],https://bt.byr.cn/download.php?id=292461,[BYRBT].Doctor.X.S01.1080p.NF.WEB-DL.DDP2.0.x264-TJUPT.torrent,2,2,7天19时,12.88GB,104,4,274,stefanieren1
32,[欧美][小谢尔顿 第一季][Young.Sheldon.S01.720p.BluRay.DD5.1.x264-DON][S01][MKV],https://bt.byr.cn/download.php?id=292460,[BYRBT].Young.Sheldon.S01.720p.BluRay.DD5.1.x264-DON.torrent,2,1,7天19时,14.54GB,103,3,274,stefanieren1
33,[期刊书籍][花花公子(斯洛文尼亚版)2018年合集][Playboy(Slovenija) 2018 collection][pdf][2018],https://bt.byr.cn/download.php?id=292459,[BYRBT].PB 2018.torrent,2,15,7天20时,145.22MB,122,0,424,megaz
34,[合集][历史频道][宇宙][The Universe][S01][1080p][Blu-ray][M2TS][白自在][科学],https://bt.byr.cn/download.php?id=292427,[BYRBT].宇宙系列第1季.torrent,3,1,8天6时,121.80GB,106,3,257,发布者匿名
35,[2016-12-29][大陆][见字如面 第一季][Letters.Alive.2016.S01.Complete.1080p.WEB-DL.H264.AAC-TJUPT][国语][中文字幕],https://bt.byr.cn/download.php?id=292397,[BYRBT].Letters.Alive.2016.S01.Complete.1080p.WEB-DL.H264.AAC-TJUPT.torrent,2,0,8天19时,15.21GB,73,2,245,发布者匿名
36,"[欧美][无耻之徒(美版),无耻家庭(美版)][Shameless.US.S09.720p.BluRay.DD5.1.x264-DON][S09][MKV]",https://bt.byr.cn/download.php?id=292396,[BYRBT].Shameless.US.S09.720p.BluRay.DD5.1.x264-DON.torrent,2,0,8天19时,30.44GB,67,1,204,发布者匿名
37,"[连载][刺客伍六七 第二季,伍六七之最强发型师 ][Killer Seven S2][04][1080p][小疯映画][MP4][2019.11.06][国产]",https://bt.byr.cn/download.php?id=292384,[BYRBT].[Tencent][刺客伍六七_第二季][Killer_Seven_S2][04][Webdl][1080P][MP4].mp4.torrent,2,0,8天22时,127.96MB,101,0,346,1272275455we
38,"[陈情令之生魂][The.Living.Dead.2019.WEB-DL.1080p.H265.AAC-DanNi][奇幻,古装][中国大陆]",https://bt.byr.cn/download.php?id=292340,[BYRBT].The.Living.Dead.2019.WEB-DL.1080p.H265.AAC-DanNi.mp4.torrent,2,1,9天16时,2.53GB,141,1,465,发布者匿名
39,[欧美][去他*的世界 第二季][The.End.of.the.Fucking.World.S02.1080p.NF.WEB-DL.DDP5.1.Atmos.x264-NG][S02][..,https://bt.byr.cn/download.php?id=292313,[BYRBT].The.End.of.the.Fucking.World.S02.1080p.NF.WEB-DL.DDP5.1.Atmos.x264-NG.torrent,2,5,9天20时,8.74GB,290,5,973,发布者匿名
