rank,seed_name,torrent_name,size,price,score
35,[2016-12-29][大陆][见字如面 第一季][Letters.Alive.2016.S01.Complete.1080p.WEB-DL.H264.AAC-TJUPT][国语][中文字幕],[BYRBT].Letters.Alive.2016.S01.Complete.1080p.WEB-DL.H264.AAC-TJUPT.torrent,15.21GB,2,94.30237038200625
36,"[欧美][无耻之徒(美版),无耻家庭(美版)][Shameless.US.S09.720p.BluRay.DD5.1.x264-DON][S09][MKV]",[BYRBT].Shameless.US.S09.720p.BluRay.DD5.1.x264-DON.torrent,30.44GB,2,95.0556155401306
37,"[连载][刺客伍六七 第二季,伍六七之最强发型师 ][Killer Seven S2][04][1080p][小疯映画][MP4][2019.11.06][国产]",[BYRBT].[Tencent][刺客伍六七_第二季][Killer_Seven_S2][04][Webdl][1080P][MP4].mp4.torrent,127.96MB,2,95.19997290898863
38,"[陈情令之生魂][The.Living.Dead.2019.WEB-DL.1080p.H265.AAC-DanNi][奇幻,古装][中国大陆]",[BYRBT].The.Living.Dead.2019.WEB-DL.1080p.H265.AAC-DanNi.mp4.torrent,2.53GB,2,95.11707772822805
39,[欧美][去他*的世界 第二季][The.End.of.the.Fucking.World.S02.1080p.NF.WEB-DL.DDP5.1.Atmos.x264-NG][S02][..,[BYRBT].The.End.of.the.Fucking.World.S02.1080p.NF.WEB-DL.DDP5.1.Atmos.x264-NG.torrent,8.74GB,2,94.61627507058925
40,"[小小的愿望][The.Last.Wish.2019.WEB-DL.1080p.H265.AAC-DanNi][剧情,喜剧][中国大陆]",[BYRBT].The.Last.Wish.2019.WEB-DL.1080p.H265.AAC-DanNi.mp4.torrent,3.26GB,2,96.55199650848921
41,[欧美][黑暗物质三部曲 第一季][His.Dark.Materials.S01E01.Lyras.Jordan.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb][..,[BYRBT].His.Dark.Materials.S01E01.Lyras.Jordan.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb.mkv.torrent,3.78GB,1,95.12578766137487
42,"[2019-11-03][SBS Running Man E475][韩语][中文字幕][MKV,720P]",[BYRBT].[E475_20191103][KO_CN].mkv.torrent,1.46GB,2,94.85272536777164
43,[欧美][早间新闻][The.Morning.Show.S01E01-E03.1080p.ATVP.WEB-DL.DD5.1.H.264-MZABI][S01E01-E03][MKV],[BYRBT].The.Morning.Show.S01.1080p.ATVP.WEB-DL.DD5.1.H.264-MZABI.torrent,12.73GB,1,94.71040302761638
44,[大陆][光荣时代][The.Glorious.Era.2019.E41-E46.WEB-DL.1080p.H265.AAC-DanNi][E41-E46][MP4],[BYRBT].The.Glorious.Era.2019.Complete.WEB-DL.1080p.H265.AAC-DanNi.torrent,8.59GB,2,93.2196424414222
45,[2019-11-02][大陆][奇葩说 第六季][I.Can.I.BB.2019.E02.WEB-DL.1080P.H264.AAC-kfbyhyq][国语][中文字幕],[BYRBT].I.Can.I.BB.2019.Complete.WEB-DL.1080P.H264.AAC-kfbyhyq.torrent,2.62GB,2,94.66542145767414
46,[连载][玄机科技][斗罗大陆][Douro Mainland][76][1080p][WEB][MP4][2018.01][国产],[BYRBT].Douro.Mainland.E76.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,537.70MB,2,95.45128414683748
47,[2019-11-1][大陆][明星大侦探第五季][Who's.the.Murderer.2019.S05E00.WEB-DL.1080p.H264.AAC][国语][中文字幕],[BYRBT].Who's.the.Murderer.2019.S05E00.WEB-DL.1080p.H264.AAC.mp4.torrent,1.85GB,2,96.34517811787757
48,[欧美][堕落街传奇 第三季][The.Deuce.S03.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb][S03][MKV],[BYRBT].The.Deuce.S03.1080p.REPACK.AMZN.WEB-DL.DDP5.1.H.264-NTb.torrent,34.90GB,4,93.67819069491425
49,[连载][玄机科技][天行九歌][Tian.Xing.Jiu.Ge][89][1080p][WEB][MP4][2016-03-10][国产],[BYRBT].Tian.Xing.Jiu.Ge.E89.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,430.65MB,2,95.3451202476839
50,[2019-10-31][大陆][奇葩说 第六季][I.Can.I.BB.2019.E01.WEB-DL.1080P.H264.AAC-kfbyhyq][国语][中文字幕],[BYRBT].I.Can.I.BB.2019.E01.WEB-DL.1080P.H264.AAC-kfbyhyq.mp4.torrent,2.15GB,2,96.5887225866162
51,[大陆][热血少年][Hot-Blooded.Youth.2019.E21-E32.WEB-DL.1080p.H265.AAC-DanNi][E21-E32][MP4],[BYRBT].Hot-Blooded.Youth.2019.Complete.WEB-DL.1080p.H265.AAC-DanNi.torrent,17.67GB,2,93.80216790203329
52,[2019-10-26][大陆][中央广播电视总台2019主持人大赛][CCTV1.Compere.Competition.2019.E01.WEB-DL.1080P.H264.AAC-..,[BYRBT].CCTV1.Compere.Competition.2019.E01.WEB-DL.1080P.H264.AAC-kfbyhyq.mp4.torrent,1.33GB,2,95.63821533217227
53,"[学习教程][VR开发纳米学位][Udacity - VR Developer (Nanodegree Program)][MP4,PNG,HTML][nd017 v3.0.0][2019]",[BYRBT].VR Developer v3.0.0.torrent,4.60GB,2,94.8662044401336
54,[连载][小疯映画][伍六七之最强发型师][Scissor Seven][03][1080p][WEB][MP4][2019.10][国产],[BYRBT].Scissor.Seven.2019.E03.WEB-DL.1080P.H264.AAC-kfbyhyq.mp4.torrent,383.84MB,2,95.10072084809536
55,"[合集][CCTV][百山百川行][Bai Shan Bai Chuan Xing][全272集][480p][TV][MKV][jlp][自然,文化,旅行]",[BYRBT].远方的家-百山百川行.torrent,89.75GB,3,93.83686315009446
56,"[解放军在巴黎][Chinese.In.Paris.1974.720p.Bluray.FLAC2.0.x264-PTer][剧情,喜剧][法国]",[BYRBT].Chinese.In.Paris.1974.720p.Bluray.FLAC2.0.x264-PTer.mkv.torrent,11.94GB,3,96.69381651091972
57,"[连载][BBC][七个世界，一个星球][Seven Worlds, One Planet][S01E01][1080p][WEB-DL][MKV][NTb][自然]",[BYRBT].Seven.Worlds.One.Planet.S01E01.Antarctica.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb.mkv.torrent,3.89GB,1,96.76791882513423
58,[大陆][光荣时代][The.Glorious.Era.2019.E31-E40.WEB-DL.1080p.H265.AAC-DanNi][E31-E40][MP4],[BYRBT].The.Glorious.Era.2019.Complete.WEB-DL.1080p.H265.AAC-DanNi.torrent,14.36GB,2,94.12504337525145
59,[欧美][硅谷][Silicon.Valley.S06E01.Artificial.Lack.of.Intelligence.1080p.AMZN.WEB-DL.DDP5.1.H.264..,[BYRBT].Silicon.Valley.S06E01.Artificial.Lack.of.Intelligence.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb.mkv.torrent,2.06GB,1,95.33588549380197
60,[合集][历史频道][宇宙][The Universe][S03][1080p][Blu-ray][M2TS][白自在][科学],[BYRBT].宇宙系列第3季.torrent,109.45GB,3,96.08589117474439
